,company_name,description,website,industries,num_employees,headquarters,founded_date,industry_groups,full_description,filter
2079,Event Dynamic,Event Dynamic develops AI technology to optimize ticket prices for live events.,https://www.eventdynamic.com/," Artificial Intelligence, Events, Information Technology, Internet, Machine Learning, Ticketing",01 to 10 ," Dallas, Texas, United States",2019," Artificial Intelligence, Data and Analytics, Events, Information Technology, Internet Services, Media and Entertainment, Science and Engineering, Software","Event Dynamic develops AI technology to optimize ticket prices for live events. It is maximizing fan engagement through the optimal pricing and distribution of live event tickets. Its technology is the most sophisticated ticket pricing and distribution system on the market. The tool uses artificial intelligence and multi-platform distribution to maximize revenue through increased attendance and efficient pricing.

The company was founded in 2019 and is headquartered in Dallas, Texas.",Software-2019
2080,EverTransit,"EverTransit is a mobile transportation, technology and data management platform.",https://evertransit.com/," Information Technology, Software, Transportation",01 to 10 ," New York, New York, United States",01-01-19 0:00," Information Technology, Software, Transportation",,Software-2019
2081,Exarca Inc.,"Exarca Inc serves the technology consulting and staffing industry that stand for stability, strength, breadth & national reach.",https://exarcainc.com,Information Technology,01 to 10 ," Austin, Texas, United States",2019,Information Technology,,Software-2019
2082,Execweb,We facilitate virtual roundtables on demand for tech executives.,https://www.execweb.com," Big Data, Events, Information Technology, Internet, Predictive Analytics",01 to 10 ," New York, New York, United States",01-01-19 0:00," Artificial Intelligence, Data and Analytics, Events, Information Technology, Internet Services, Media and Entertainment, Software",Connect with relevant tech executives and build authentic long term lasting business relationships by virtual roundtables on-demand.,Software-2019
2083,Experience Results,"Experience Results is a marketing firm that specializes in data management, graphic design and merchandising of custom events & travel.",http://www.experienceresults.com/," Advertising, Database, Graphic Design, Marketing",01 to 10 ," Marietta, Georgia, United States",2019," Advertising, Data and Analytics, Design, Sales and Marketing, Software",,Software-2019
2084,FairFinance,Inclusive access to exclusive financial services.,," Finance, Financial Services, FinTech, Internet, Mobile, Personal Finance",01 to 10 ," San Francisco, California, United States",01-01-19 0:00," Financial Services, Internet Services, Mobile","Elite wealth generation services and financial security for everyone.

Coming soon. Sign up now for early access. In stealth mode.",Software-2019
2085,Falkon AI,Falkon AI provides revolutionary way to combine machine learning human intuition to empower professionals to define.,http://www.falkon.ai/," Artificial Intelligence, Machine Learning",01 to 10 ," Seattle, Washington, United States",2019," Artificial Intelligence, Data and Analytics, Science and Engineering, Software","Falkon is building a new system of intelligence that empowers professionals to define, understand and improve metrics that really matter.",Software-2019
2086,Fanaply,Fanaply is an internet company that specializes in creating digital collectibles for the worlds biggests fans.,http://www.fanaply.com," Apps, E-Commerce, Internet, Mobile, Music, Software",01 to 10 ," New York, New York, United States",2019," Apps, Commerce and Shopping, Internet Services, Media and Entertainment, Mobile, Music and Audio, Software","Fanaply creates digital collectibles and fan engagement tools for the world's biggest fans in music, sports, and entertainment.
Our digital collectibles, similar to the virtual goods sold in video games, let fans show-off and be rewarded for their fandom both online and in the real world. We offer fans free collectibles based on their behaviour, and partner with celebrities and athletes to sell official collectibles.
We license our technology to festivals, teams and conferences to build collectibles into their official apps.
Collectibles can be bundled into status and fans can be rewarded as we create loyalty and incentive programs around them.
Fanaply was one of 10 companies accepted into the world class Techstars Music Program in February 2020.
We launched last year as Coachella's Official Digital Collectibles Partner where we gamified the festival and awarded fans digital collectibles inside the official Coachella App.

The company was founded in 2019 and headquartered in New York, United States.",Software-2019
2087,Fast River Technologies,"Fast River Technologies provides healthcare data repositories, software & solution architecture design, and web-based applications services.",http://fastrivertech.com," Health Care, Information Technology, Software",01 to 10 ," Irvine, California, United States",2019," Health Care, Information Technology, Software",,Software-2019
2088,Feather,We're building a mobile app that makes it easy to find a new group of friends.,https://www.getfeather.app," Apps, iOS, Location Based Services, Mobile Apps",01 to 10 ," Torrance, California, United States",01-01-19 0:00," Apps, Data and Analytics, Internet Services, Mobile, Navigation and Mapping, Platforms, Software",,Software-2019
