,company_name,description,cleaned_description
1385," Jack Automation Technologies, Inc. ",A conversational platform for automated messaging and voice experiences with tenants/residents for all property types and portfolio sizes.,conversational platform automated messaging voice experience tenantsresidents property type portfolio size
1386,Jadin Tech,"Jadin Tech focuses on risk management, logistics support, aviation services and software development solutions.",jadin tech focus risk management logistics support aviation service software development solution
1387,Jam Music,Jam Music is an app to listen music and chat with friends.,jam music app listen music chat friend
1388,Jawstrow Inc.,"Jawstrow, a SaaS provider, that leverages the power of VR/AR to empower traditional retail. ",jawstrow saas provider leverage power vrar empower traditional retail 
1389,Jaxo,Jaxo is a software firm offers the advantages of blockchain assets with the stability and trust of gold in San Francisco.,jaxo software firm offer advantage blockchain asset stability trust gold san francisco
1390,Hoverbox,Loyalty console for businesses.,loyalty console business
1391,HowClip,"User Generated Video Learning Platform - where users may discover, develop, and innovate tasks",user generated video learning platform  user may discover develop innovate task
1392,HowUdish,HowUdish develops a mobile application intended to connect users to dishes fitting their nutritional lifestyle.,howudish develops mobile application intended connect user dish fitting nutritional lifestyle
1393,HoyHealth,Healthcare company focused on a ecosystem approach to consumer health management that improves health outcomes and reduces costs.,healthcare company focused ecosystem approach consumer health management improves health outcome reduces cost
1394,HR Ease,"HR Ease offers software solutions that manage human resources, employee benefits, compliance and administration of the organization.",hr ease offer software solution manage human resource employee benefit compliance administration organization
1395,Hub IQ,CREATORS OF THE FIRST PURE CLOUD MOBILE ENGAGEMENT PLATFORM.,creator first pure cloud mobile engagement platform
1396,Huckleberry Labs,"The source for family wellness, with the help of AI.",source family wellness help ai
1397,Hugo,Hugo is a collaborative note-taking app focused on sharing meeting notes across teams within companies.,hugo collaborative notetaking app focused sharing meeting note across team within company
1398,Humbleteam,humbleteam is a product design company.,humbleteam product design company
1399,Hummingbird Trading,"Hummingbird is a mobile-first, trading and financial technology company founded by engineers and financial experts.",hummingbird mobilefirst trading financial technology company founded engineer financial expert
1400,Hummingbirdsday,"Hummingbirdsday provides innovative design solutions for web, app, game, & cutting edge technology.",hummingbirdsday provides innovative design solution web app game  cutting edge technology
